조사월,기온_C,야간기온_C,DIF,EC_dS_m,일사량_Wm2,slr_wma,관수량,경과일,GDD정규화,GDD정규화_sq,적산온도,누적일사량,CU_norm,연간CU,NDVI,ET0_mm,종형_T,종형_EC,줄기굵기_실측,엽장_실측,런너번호,꽃수,관부직경_mm,과실수대리,과당무게대리_g,수확량_kg_10a,당도_Brix,특품율
3,9.0,-2.9,11.9,0.91,484.7,482.2,3.5,24.0,0.2015,0.0406,10.9,1171.6,0.6705,836.0,0.5434,0.5,143.07,0.0373,6.2,11.9,1.0,13.445512013772452,10.67,11.22,20.8,795.0,8.44,0.364
12,2.0,-11.7,13.6,0.58,268.5,268.3,1.2,56.0,0.4626,0.214,5.5,1490.6,0.7584,907.0,0.3768,0.5,361.82,0.2655,5.5,15.2,4.0,10.59733580125068,9.46,7.35,19.8,795.0,9.19,0.453
4,18.6,9.3,9.3,0.3,447.9,434.8,1.6,41.0,0.9214,0.849,37.8,1822.7,0.6686,835.0,0.8458,0.5,5.82,0.64,5.73,11.0,4.0,13.225689729125694,9.86,9.25,19.7,3811.1,11.92,0.537
3,8.7,-1.1,9.9,0.98,410.8,414.5,1.0,11.0,0.0942,0.0089,4.9,464.3,0.5195,716.0,0.2727,0.5,150.07,0.015,6.1,13.0,4.0,18.670023439740447,10.5,13.22,17.9,795.0,5.81,0.414
1,-1.6,-13.8,12.2,1.58,251.7,248.7,4.0,13.0,0.1075,0.0116,-1.0,324.6,0.8006,941.0,0.2496,0.5,508.61,0.2305,4.93,10.0,2.0,8.878365345665859,8.48,7.3,15.9,795.0,7.7,0.44
1,-7.4,-19.2,11.7,1.38,434.6,438.4,3.2,29.0,0.2453,0.0602,-11.0,1279.6,0.7264,881.0,0.4507,0.5,808.83,0.0766,4.6,9.0,4.0,13.418216782347256,7.91,9.44,18.8,795.0,8.61,0.419
2,5.6,-4.7,10.4,1.56,314.7,318.8,2.0,14.0,0.1162,0.0135,3.9,438.7,0.5922,774.0,0.4282,0.5,236.21,0.2151,5.02,13.0,2.0,10.171935691453541,8.64,8.1,15.4,795.0,6.76,0.383
4,17.1,7.0,10.1,1.17,447.3,432.1,1.4,11.0,0.2208,0.0488,9.4,490.7,0.7089,867.0,0.348,0.5,15.4,0.0052,5.52,9.2,1.0,12.105453575669861,9.5,10.25,18.1,1780.5,6.98,0.419
1,-1.3,-14.7,13.4,0.82,269.6,264.8,3.0,36.0,0.3024,0.0914,-2.4,978.2,0.6356,808.0,0.4517,0.5,497.34,0.0784,4.61,10.0,1.0,21.642603508589445,7.93,17.34,19.0,795.0,8.45,0.528
11,11.0,-1.2,12.2,1.46,278.5,267.8,3.9,41.0,0.404,0.1633,22.3,1129.4,0.595,776.0,0.4856,0.5,100.43,0.1311,3.9,12.0,1.0,14.494551547784555,6.71,11.95,16.5,795.0,9.12,0.411
2,1.0,-11.3,12.3,1.55,202.2,222.8,1.7,28.0,0.2353,0.0554,1.5,570.9,0.446,657.0,0.4383,0.5,398.67,0.2014,5.11,11.0,1.0,15.071658914149335,8.79,12.26,15.3,795.0,7.48,0.466
4,14.0,1.6,12.4,0.54,595.4,594.5,3.0,46.0,0.6976,0.4867,32.5,2764.4,0.4419,654.0,0.6319,0.5,48.78,0.3124,4.4,11.0,2.0,12.129208862482141,7.57,9.45,23.8,2574.0,10.26,0.541
12,-0.1,-10.3,10.2,1.86,251.1,258.2,2.4,19.0,0.1597,0.0255,-0.1,481.0,0.4813,685.0,0.3497,0.5,446.27,0.5831,5.4,11.1,2.0,17.562592534691603,9.29,13.56,13.6,795.0,7.28,0.357
11,11.5,1.1,10.3,1.18,260.8,253.0,0.7,29.0,0.3156,0.0996,16.8,763.3,0.5677,754.0,0.4563,0.5,90.8,0.0059,3.0,14.8,3.0,13.901333191484959,5.16,10.28,15.5,1383.5,7.63,0.413
4,14.3,5.1,9.2,1.2,594.8,586.8,3.8,29.0,0.4577,0.2094,21.1,1752.4,0.8143,951.0,0.5062,0.5,44.63,0.0099,4.92,13.0,2.0,11.753550727678736,8.47,9.47,19.6,1522.6,9.66,0.416
12,5.1,-5.3,10.4,0.57,80.0,82.7,1.6,55.0,0.4576,0.2094,14.0,439.3,0.7498,900.0,0.5943,0.5,252.8,0.2818,6.8,10.0,3.0,11.643256730116875,11.7,8.73,14.4,795.0,9.38,0.5
1,-1.4,-13.4,12.0,0.47,250.4,254.7,3.5,30.0,0.2535,0.0643,-2.1,761.7,0.6487,819.0,0.3504,0.5,501.44,0.3973,5.1,11.5,2.0,13.039303864771508,8.78,10.3,18.5,795.0,7.44,0.535
2,2.2,-6.5,8.7,0.51,483.0,490.4,3.2,45.0,0.3734,0.1394,4.9,2164.4,0.6395,812.0,0.3827,0.5,353.95,0.3441,5.56,14.0,2.0,11.025308606667693,9.57,8.78,19.2,795.0,8.25,0.425
3,6.7,-6.6,13.4,0.94,478.2,462.5,2.5,59.0,0.4958,0.2458,19.9,2845.3,0.5426,734.0,0.5113,0.5,204.37,0.0253,5.34,13.0,3.0,10.434173071499693,9.19,7.66,21.8,795.0,9.82,0.52
11,6.0,-6.8,12.7,1.16,340.1,328.3,1.6,55.0,0.4594,0.2111,16.4,1875.1,0.6439,815.0,0.555,0.5,226.47,0.0041,5.6,13.0,4.0,18.6633796342486,9.64,13.31,18.7,795.0,8.4,0.443
1,1.5,-9.3,10.8,1.22,176.0,177.0,0.2,62.0,0.5138,0.264,4.7,1085.0,0.5511,741.0,0.52,0.5,379.38,0.0151,5.72,12.5,4.0,13.047702307419208,9.84,9.03,14.5,795.0,8.87,0.392
11,2.5,-6.5,8.9,0.65,397.8,378.5,2.5,51.0,0.4279,0.1831,6.3,2043.0,0.5123,710.0,0.5757,0.5,344.1,0.2062,3.8,14.0,4.0,16.331119828226985,6.54,11.46,17.8,795.0,9.25,0.393
3,9.6,-0.6,10.2,1.16,435.2,443.1,1.3,49.0,0.4112,0.1691,23.7,2147.6,0.7993,939.0,0.3765,0.5,129.89,0.0037,4.7,12.5,2.0,13.665973622940081,8.09,10.89,18.1,795.0,7.75,0.506
12,5.3,-6.2,11.4,1.22,336.0,329.5,2.9,64.0,0.5327,0.2838,16.9,2148.1,0.8625,990.0,0.6775,0.5,246.98,0.0138,5.57,10.5,3.0,12.878679188626329,9.58,9.75,17.4,795.0,9.47,0.604
12,3.4,-10.4,13.8,1.14,245.7,258.5,3.3,25.0,0.2095,0.0439,4.3,617.8,0.6353,808.0,0.3139,0.5,308.15,0.0012,5.3,20.4,2.0,8.586553792630344,9.12,6.95,18.2,795.0,7.86,0.432
2,-1.2,-9.3,8.1,0.92,347.1,363.9,0.5,39.0,0.3287,0.108,-2.3,1369.0,0.5861,769.0,0.3441,0.5,490.91,0.0317,5.7,11.0,2.0,13.173050727450724,9.81,10.35,15.7,795.0,6.63,0.374
12,0.0,-8.1,8.1,0.5,389.3,380.6,2.4,62.0,0.5206,0.271,0.1,2432.0,0.6581,827.0,0.5971,0.5,439.33,0.3549,4.36,8.0,3.0,12.238835246186573,7.5,9.11,17.4,795.0,9.18,0.514
2,4.6,-7.1,11.8,0.81,423.6,418.5,2.2,29.0,0.2405,0.0579,6.7,1222.8,0.9261,1041.0,0.4313,0.5,267.79,0.0826,5.51,9.0,4.0,11.898570555397923,9.48,8.46,20.0,795.0,7.88,0.483
3,7.1,-6.8,13.9,1.72,420.6,418.9,0.9,47.0,0.3915,0.1533,16.6,1976.0,0.3555,584.0,0.3811,0.5,194.48,0.3886,5.6,14.8,3.0,21.0649430021615,9.64,15.48,19.4,795.0,7.71,0.361
12,1.4,-6.7,8.1,1.73,174.8,171.3,1.0,42.0,0.3485,0.1214,2.9,731.0,0.6062,785.0,0.5174,0.5,384.55,0.3969,5.1,13.0,2.0,12.826796147442113,8.78,10.11,11.1,795.0,7.19,0.322
4,12.8,-1.0,13.8,1.49,617.0,612.8,3.5,36.0,0.464,0.2153,22.9,2205.8,0.6374,810.0,0.5577,0.5,67.43,0.1528,6.0,13.5,2.0,6.839428021499509,10.32,5.64,22.9,795.0,8.85,0.438
3,6.7,-6.2,12.8,0.83,373.8,383.2,1.4,45.0,0.3726,0.1389,14.9,1671.6,0.4557,665.0,0.4952,0.5,205.88,0.0752,5.9,12.0,1.0,10.465084768605445,10.15,8.81,20.1,795.0,8.78,0.409
1,3.0,-5.3,8.2,1.37,280.1,283.9,1.2,59.0,0.4919,0.2419,8.8,1653.4,0.3505,580.0,0.4569,0.5,324.84,0.0705,6.26,9.7,2.0,3.8531119863775434,10.77,3.17,13.7,795.0,8.35,0.535
4,14.9,3.4,11.5,1.27,484.4,474.8,1.6,57.0,0.9331,0.8706,42.2,2750.3,0.4454,656.0,0.7675,0.5,37.69,0.0276,5.2,12.0,3.0,12.436607824720344,8.95,9.08,19.6,2265.9,10.73,0.637
2,2.5,-6.4,8.9,1.6,324.2,332.7,2.7,22.0,0.1853,0.0343,2.8,720.7,0.6217,797.0,0.2929,0.5,340.92,0.2496,7.7,13.0,3.0,17.518669904389615,13.25,13.04,14.3,795.0,7.62,0.325
4,12.6,1.2,11.4,0.6,501.5,517.7,1.1,29.0,0.3631,0.1319,18.0,1431.8,1.0,1222.0,0.5175,0.5,70.04,0.2513,6.04,11.5,4.0,13.373477806087458,10.39,9.63,21.5,950.1,8.82,0.369
3,5.2,-4.5,9.6,1.27,296.1,285.7,1.6,23.0,0.1907,0.0364,5.9,677.7,0.9459,1057.0,0.1736,0.5,250.89,0.0302,5.75,10.0,3.0,18.232833823725503,9.89,13.83,15.3,795.0,5.99,0.345
12,3.4,-6.4,9.9,1.07,293.1,294.0,2.8,46.0,0.381,0.1452,7.8,1340.0,0.8413,973.0,0.3979,0.5,309.13,0.0008,4.29,8.0,3.0,10.8993347876025,7.38,8.25,15.9,795.0,9.95,0.381
2,4.8,-8.1,12.9,1.61,330.9,311.1,2.2,22.0,0.1837,0.0338,5.3,729.6,0.7958,937.0,0.5036,0.5,263.37,0.2626,4.9,13.5,1.0,9.722568944634636,8.43,8.53,17.5,795.0,6.95,0.432
11,7.8,-0.9,8.8,1.06,331.1,342.8,0.1,41.0,0.3389,0.1149,15.9,1346.6,0.4446,656.0,0.3884,0.5,173.54,0.0014,3.2,7.0,2.0,18.346625756494905,5.51,14.12,15.6,795.0,7.19,0.435
3,8.0,-2.9,10.9,0.66,417.1,432.0,2.0,22.0,0.1839,0.0338,8.8,920.7,0.5242,719.0,0.4556,0.5,168.95,0.1911,3.95,10.0,2.0,18.524733733380007,6.8,14.31,19.6,795.0,6.83,0.541
4,14.2,2.2,12.0,1.68,549.8,545.7,3.5,52.0,0.8039,0.6463,37.2,2870.5,0.6074,786.0,0.6582,0.5,45.72,0.3418,6.5,9.5,1.0,19.968655273815497,11.18,16.06,19.9,2521.9,11.13,0.501
11,9.1,-3.3,12.4,1.02,239.3,238.8,0.7,51.0,0.4209,0.1771,23.0,1208.4,0.3934,615.0,0.4598,0.5,141.4,0.0064,5.1,11.5,2.0,17.140524673596317,8.78,13.17,17.3,795.0,10.18,0.359
4,12.7,-0.4,13.1,1.25,457.0,469.9,3.9,12.0,0.1507,0.0227,7.5,536.4,0.7681,914.0,0.4458,0.5,68.82,0.0226,3.1,14.0,3.0,18.071854573327826,5.33,13.57,20.5,795.0,7.54,0.436
4,12.7,3.4,9.2,0.96,452.9,454.1,3.7,52.0,0.6658,0.4433,33.0,2363.8,0.6194,795.0,0.6835,0.5,69.66,0.0185,4.38,16.8,1.0,16.019693991159635,7.54,13.11,18.1,2801.5,10.55,0.526
12,2.2,-8.4,10.6,0.96,217.9,205.1,0.5,49.0,0.4057,0.1646,5.3,1060.7,0.5596,748.0,0.5131,0.5,354.55,0.0205,5.22,11.5,2.0,12.027708842845668,8.98,9.47,15.7,795.0,7.97,0.401
11,11.1,2.1,9.0,1.12,380.6,381.3,3.9,18.0,0.1859,0.0346,10.2,699.3,0.6712,837.0,0.3069,0.5,98.58,0.0005,5.6,12.0,4.0,11.377505619164104,9.64,7.87,16.4,795.0,6.89,0.4
2,0.2,-11.3,11.4,0.55,291.8,278.3,3.5,11.0,0.0921,0.0085,0.1,322.4,0.7172,874.0,0.2901,0.5,433.96,0.301,4.9,8.4,2.0,15.940759238569147,8.43,12.53,18.4,795.0,7.39,0.283
11,7.9,-2.4,10.3,1.61,252.4,276.6,1.7,14.0,0.1202,0.0145,5.7,364.1,0.4737,679.0,0.3629,0.5,172.35,0.2554,5.31,9.0,2.0,13.406211971971057,9.14,10.43,14.3,795.0,6.46,0.348
4,13.6,2.1,11.5,0.79,534.1,534.3,2.8,47.0,0.6741,0.4544,32.0,2523.2,0.3613,589.0,0.6088,0.5,55.33,0.097,4.68,13.0,2.0,7.94533853240393,8.05,6.25,21.5,824.0,10.3,0.366
12,0.8,-8.4,9.2,0.71,332.0,311.4,0.5,27.0,0.2214,0.049,1.1,881.9,0.7332,887.0,0.4151,0.5,407.76,0.1547,5.8,15.0,2.0,11.320033277206027,9.98,9.08,16.9,795.0,7.0,0.419
2,-0.5,-12.5,12.0,1.23,379.5,392.4,3.0,20.0,0.1675,0.0281,-0.5,762.6,0.662,830.0,0.298,0.5,462.28,0.0158,4.58,10.2,4.0,15.790670936744968,7.88,11.17,18.5,795.0,6.27,0.355
1,-1.0,-14.6,13.5,1.21,311.6,326.6,3.4,53.0,0.4377,0.1916,-2.7,1637.0,0.3927,614.0,0.4946,0.5,484.57,0.0111,4.61,17.2,2.0,15.88891693270087,7.93,12.23,18.8,795.0,8.74,0.49
4,13.0,-0.3,13.2,1.24,435.3,442.7,1.9,36.0,0.479,0.2295,23.4,1573.7,0.4262,641.0,0.6001,0.5,64.78,0.0184,5.6,9.0,4.0,14.211682712889903,9.64,9.8,20.3,1022.1,9.46,0.449
3,6.4,-5.3,11.7,0.7,469.6,477.6,2.8,56.0,0.4626,0.214,17.8,2606.9,0.8483,979.0,0.4935,0.5,212.5,0.1574,6.1,8.5,2.0,14.798069331776,10.5,11.78,20.9,795.0,8.7,0.407
12,4.4,-5.0,9.3,1.32,316.4,302.8,4.0,20.0,0.1708,0.0292,4.5,648.4,0.7761,921.0,0.5035,0.5,277.2,0.0471,4.5,16.0,3.0,16.83488452273789,7.74,12.65,15.2,795.0,7.99,0.435
4,16.8,3.2,13.6,0.88,428.7,427.6,0.8,37.0,0.7318,0.5355,31.2,1591.3,0.5228,718.0,0.7045,0.5,17.4,0.0475,3.63,8.0,1.0,14.753604997834453,6.25,12.08,21.4,3624.1,9.82,0.536
3,7.9,-1.5,9.4,2.08,408.4,412.3,1.6,55.0,0.4596,0.2112,21.8,2252.4,0.3072,546.0,0.5526,0.5,171.46,0.9657,10.15,12.0,3.0,17.88807026906504,17.46,13.06,14.8,795.0,8.73,0.472
2,0.5,-8.2,8.7,0.93,327.8,335.7,1.0,45.0,0.3733,0.1394,1.2,1468.7,0.5129,710.0,0.4863,0.5,419.68,0.0292,4.9,9.0,1.0,11.137357685951429,8.43,9.36,15.9,795.0,7.51,0.459
2,0.6,-12.3,12.9,1.07,415.7,408.9,2.3,27.0,0.2254,0.0508,0.8,1124.1,0.5836,767.0,0.5206,0.5,416.93,0.0009,4.5,14.0,4.0,14.468542255699818,7.74,10.12,20.2,795.0,8.83,0.401
3,5.0,-7.0,12.0,1.18,496.0,491.7,1.7,17.0,0.141,0.0199,4.3,839.5,0.6121,790.0,0.4234,0.5,254.93,0.0068,3.6,13.5,2.0,15.891878613004822,6.19,12.41,20.4,795.0,6.02,0.379
12,1.9,-7.4,9.4,1.0,344.2,334.0,1.2,37.0,0.3119,0.0973,3.6,1288.2,0.4589,667.0,0.4718,0.5,363.93,0.0093,6.44,12.0,3.0,21.416693615080675,11.08,15.83,16.4,795.0,7.63,0.486
1,0.3,-11.1,11.4,1.31,273.9,279.9,1.2,44.0,0.3659,0.1339,0.7,1202.7,0.6648,832.0,0.4036,0.5,427.53,0.0433,4.5,13.0,2.0,9.48887837543205,7.74,7.65,16.3,795.0,8.61,0.434
12,-1.5,-12.2,10.7,1.39,118.3,117.7,0.7,15.0,0.1248,0.0156,-1.1,177.1,0.6127,790.0,0.2372,0.5,505.48,0.0831,3.89,13.0,2.0,18.850999384664455,6.69,14.63,13.2,795.0,6.13,0.282
3,3.4,-10.4,13.9,1.3,438.3,437.2,1.5,39.0,0.327,0.1069,6.7,1719.9,0.7596,908.0,0.4976,0.5,308.54,0.0388,4.0,10.0,2.0,7.7470343880861305,6.88,6.42,20.7,795.0,7.51,0.486
4,15.1,1.3,13.8,1.16,473.1,468.0,3.4,45.0,0.7578,0.5742,34.0,2133.9,0.6336,807.0,0.6838,0.5,35.05,0.0031,4.2,6.2,4.0,11.791051215318383,7.23,8.15,21.5,2507.9,11.12,0.423
1,-0.6,-10.3,9.6,1.66,311.6,296.5,2.6,12.0,0.1041,0.0108,-0.4,389.1,0.7109,869.0,0.3185,0.5,468.35,0.3177,4.77,10.0,2.0,18.808605428481275,8.21,14.68,14.5,795.0,6.54,0.29
1,-1.4,-9.8,8.4,1.01,294.5,297.2,1.5,39.0,0.3274,0.1072,-2.7,1157.0,0.4971,698.0,0.4634,0.5,500.56,0.008,5.2,9.7,3.0,11.165800096224073,8.95,8.17,14.9,795.0,10.02,0.476
11,10.0,-1.5,11.4,1.6,313.3,323.2,0.5,47.0,0.3924,0.154,23.5,1475.5,0.5559,745.0,0.4343,0.5,121.21,0.2532,4.7,15.0,4.0,14.233347795120958,8.09,9.92,16.2,795.0,7.45,0.431
1,1.3,-6.8,8.1,1.61,221.8,212.0,1.1,25.0,0.2059,0.0424,1.6,547.9,0.7658,913.0,0.4639,0.5,388.26,0.2558,6.6,15.3,2.0,19.518384910974774,11.36,15.25,12.1,795.0,6.84,0.479
3,8.1,-0.7,8.8,1.2,424.2,442.7,2.7,27.0,0.2265,0.0513,11.0,1153.0,0.4814,685.0,0.4213,0.5,166.23,0.0106,4.1,16.0,2.0,7.2316085559252725,7.05,5.81,16.7,795.0,8.13,0.377
11,8.0,-5.7,13.7,0.3,303.5,316.2,2.9,48.0,0.3979,0.1583,19.0,1449.2,0.848,978.0,0.5408,0.5,170.01,0.64,5.3,6.5,2.0,20.975999022595474,9.12,16.41,21.1,795.0,7.17,0.352
3,5.3,-5.9,11.2,0.93,471.4,481.4,3.7,17.0,0.1444,0.0209,4.6,816.8,0.3302,564.0,0.345,0.5,247.95,0.0278,7.0,10.0,3.0,14.380347254719839,12.04,10.45,20.0,795.0,9.32,0.383
1,-0.6,-12.3,11.7,1.7,220.2,221.2,1.7,20.0,0.165,0.0272,-0.6,436.1,0.5617,749.0,0.3729,0.5,464.72,0.3568,4.9,8.5,2.0,15.130234100601392,8.43,11.8,14.7,795.0,6.66,0.359
12,1.0,-7.1,8.1,1.47,236.1,236.2,0.7,14.0,0.114,0.013,0.7,323.1,0.7529,902.0,0.3276,0.5,400.0,0.1376,5.16,9.7,1.0,13.444873930816149,8.88,11.29,12.6,795.0,7.11,0.433
2,1.8,-11.9,13.6,1.26,409.6,402.7,0.9,36.0,0.3013,0.0908,3.2,1481.1,0.5891,771.0,0.433,0.5,370.34,0.0254,4.1,12.8,2.0,15.976886351129002,7.05,12.45,20.2,795.0,6.82,0.431
4,16.1,4.1,12.0,1.35,472.2,472.7,0.7,59.0,1.0,1.0,47.6,2786.8,0.7952,936.0,0.8723,0.5,23.88,0.0639,5.98,10.5,4.0,16.42270672692809,10.29,11.75,19.6,3541.2,10.47,0.53
3,7.6,-2.8,10.4,0.86,470.8,492.1,1.7,53.0,0.4411,0.1946,20.1,2492.2,0.5976,778.0,0.4975,0.5,180.16,0.0556,4.17,6.1,2.0,19.514141748906553,7.18,15.11,19.5,795.0,6.59,0.465
3,12.8,3.9,8.9,1.28,496.0,498.1,1.6,61.0,0.7847,0.6158,38.7,3003.3,1.0,1207.0,0.579,0.5,67.63,0.0326,3.8,11.0,2.0,15.17603931546979,6.54,12.18,17.7,2194.0,11.3,0.484
2,3.7,-5.1,8.8,1.58,368.0,375.5,1.5,25.0,0.208,0.0433,4.6,918.4,0.4955,696.0,0.3614,0.5,298.89,0.2293,4.2,10.0,4.0,17.678703281158977,7.23,12.46,14.9,795.0,5.35,0.361
12,6.1,-5.2,11.3,0.6,361.5,366.4,3.5,27.0,0.2274,0.0517,8.3,986.7,0.535,728.0,0.4531,0.5,221.91,0.2466,6.1,10.5,2.0,10.0932682087862,10.5,8.0,19.2,795.0,8.77,0.405
1,5.4,-7.4,12.8,0.3,255.0,276.1,1.0,21.0,0.1765,0.0311,5.7,540.0,0.3041,543.0,0.3111,0.5,242.77,0.64,5.5,10.5,3.0,7.175430618551762,9.46,5.02,19.6,795.0,5.74,0.368
12,-2.2,-10.9,8.6,1.13,328.5,331.0,0.5,61.0,0.5057,0.2557,-6.8,1993.4,1.0,1161.0,0.5569,0.5,539.63,0.0011,4.0,8.7,2.0,14.297679052590702,6.88,11.52,15.3,795.0,8.21,0.42
2,2.4,-10.8,13.2,1.48,360.4,362.3,1.7,23.0,0.1916,0.0367,2.7,828.8,0.5395,732.0,0.2956,0.5,346.36,0.1482,3.7,9.5,1.0,14.210848212464379,6.37,11.69,18.5,795.0,7.12,0.482
2,0.5,-11.4,11.9,1.23,314.3,321.0,2.0,59.0,0.4912,0.2413,1.5,1852.7,0.6934,855.0,0.6265,0.5,420.43,0.0175,3.7,10.0,2.0,19.18452327779798,6.37,14.94,17.4,795.0,8.67,0.524
1,-1.8,-14.4,12.6,1.31,351.2,366.6,1.5,58.0,0.4859,0.2361,-5.4,2047.7,0.5723,758.0,0.4228,0.5,521.53,0.0429,5.36,15.5,2.0,12.32438138211395,9.22,9.7,18.4,795.0,9.51,0.363
11,2.8,-9.2,12.0,0.35,340.6,329.0,3.6,19.0,0.1582,0.025,2.7,646.7,0.6924,854.0,0.2459,0.5,330.58,0.5572,4.8,10.7,2.0,10.048169339640353,8.26,8.09,20.1,795.0,6.81,0.385
1,-1.0,-11.2,10.2,1.22,368.4,378.1,0.6,47.0,0.3911,0.153,-2.4,1729.1,0.3651,592.0,0.4283,0.5,485.04,0.0155,5.4,12.6,3.0,17.3520485603724,9.29,12.71,16.9,795.0,8.54,0.365
3,3.0,-9.0,12.0,1.54,352.6,363.0,3.4,21.0,0.1766,0.0312,3.2,747.1,0.9452,1056.0,0.382,0.5,324.94,0.1951,4.05,13.8,2.0,12.059340762896564,6.97,9.8,17.3,795.0,8.35,0.483
1,-4.6,-13.3,8.8,1.59,260.2,250.9,1.2,51.0,0.4239,0.1797,-11.6,1323.5,0.7084,867.0,0.4566,0.5,653.47,0.2448,5.1,13.5,3.0,15.820334459417994,8.78,11.83,13.2,795.0,7.55,0.411
2,5.5,-8.4,13.9,0.91,370.4,373.0,3.8,24.0,0.2001,0.04,6.6,889.3,0.5723,758.0,0.4136,0.5,239.61,0.0359,8.0,13.0,1.0,11.212281118017174,13.77,9.47,20.7,795.0,8.52,0.337
1,-2.2,-15.6,13.3,1.44,212.6,220.4,3.0,30.0,0.2522,0.0636,-3.4,643.6,0.3684,595.0,0.4413,0.5,539.34,0.1137,4.8,10.0,1.0,8.962616816847428,8.26,7.62,16.6,795.0,7.14,0.419
11,4.7,-6.9,11.6,1.28,292.1,295.6,0.1,61.0,0.5077,0.2578,14.3,1780.0,0.4071,626.0,0.6046,0.5,265.89,0.0315,5.46,15.2,2.0,13.078330479400822,9.39,10.13,16.8,795.0,7.6,0.586
3,6.6,-5.7,12.3,1.79,533.4,531.9,3.7,22.0,0.1812,0.0328,7.2,1159.9,0.4459,657.0,0.3499,0.5,207.62,0.4719,5.62,7.5,3.0,13.947460762263688,9.67,10.22,19.7,795.0,7.44,0.365
4,17.8,7.4,10.4,1.21,534.7,535.9,1.1,47.0,0.9972,0.9944,41.6,2501.7,0.5617,749.0,0.838,0.5,10.32,0.0115,4.7,8.9,2.0,10.167015055719476,8.09,8.07,19.6,2643.4,11.4,0.487
3,3.3,-5.2,8.5,0.35,395.0,387.4,0.2,24.0,0.1979,0.0392,3.9,938.3,0.5796,764.0,0.3492,0.5,314.62,0.5636,6.0,12.0,1.0,15.965731944144512,10.32,13.04,18.1,795.0,6.65,0.481
12,0.8,-8.9,9.7,0.8,236.0,229.1,1.0,30.0,0.2477,0.0614,1.2,701.6,0.925,1040.0,0.4566,0.5,407.5,0.0893,4.5,10.7,4.0,13.584173526376057,7.74,9.73,15.6,795.0,8.42,0.44
3,9.6,-1.2,10.8,0.83,418.9,423.1,1.0,31.0,0.2594,0.0673,14.9,1304.2,0.5019,702.0,0.3772,0.5,130.65,0.074,4.5,11.0,3.0,13.886775901201968,7.74,10.22,19.1,795.0,6.9,0.407
3,10.0,-2.3,12.3,0.89,497.8,494.1,2.4,53.0,0.4401,0.1937,26.3,2629.2,0.5655,752.0,0.5301,0.5,121.98,0.0443,5.35,12.0,3.0,12.185865998337515,9.21,8.99,21.4,795.0,8.85,0.384
4,10.2,1.6,8.6,1.06,483.9,494.9,2.9,14.0,0.1176,0.0138,6.9,654.5,0.4415,653.0,0.5088,0.5,116.24,0.0013,3.7,15.5,4.0,11.385311180345845,6.37,7.69,17.8,795.0,7.16,0.518
3,4.2,-7.6,11.8,1.09,440.1,450.0,3.8,17.0,0.1418,0.0201,3.6,748.7,0.9116,1029.0,0.2677,0.5,281.59,0.0001,5.59,12.5,1.0,12.85262702601107,9.62,10.97,19.6,795.0,7.81,0.471
2,3.5,-5.5,8.9,1.34,350.8,355.4,2.4,10.0,0.0844,0.0071,1.8,355.4,0.6207,797.0,0.3314,0.5,307.21,0.0596,3.8,12.6,4.0,16.26430636641345,6.54,11.49,15.3,795.0,7.71,0.407
12,1.3,-11.8,13.0,0.55,218.2,225.8,1.9,31.0,0.2599,0.0675,2.0,680.5,0.6343,807.0,0.2739,0.5,389.25,0.3021,4.3,10.1,1.0,11.95775371922728,7.4,10.08,18.6,795.0,7.23,0.32
11,12.2,0.8,11.4,1.59,146.9,135.7,1.8,27.0,0.3224,0.104,16.4,395.0,0.7625,910.0,0.4923,0.5,77.5,0.2417,4.4,11.9,2.0,21.67096442122532,7.57,16.86,13.7,795.0,7.94,0.482
11,8.3,-4.5,12.8,0.83,248.5,243.4,1.9,63.0,0.5277,0.2784,26.2,1573.8,0.532,726.0,0.4901,0.5,162.09,0.0738,6.02,10.0,1.0,18.105910412292285,10.36,14.61,18.2,795.0,8.56,0.54
3,10.1,-1.7,11.8,0.47,388.5,409.0,0.2,58.0,0.4959,0.2459,29.4,2259.1,0.7515,901.0,0.6233,0.5,118.45,0.403,5.01,18.0,4.0,22.280114432297196,8.62,16.11,20.4,845.4,7.17,0.392
4,19.6,10.2,9.4,0.76,512.4,505.9,3.3,63.0,1.0,1.0,61.2,3203.5,0.6891,851.0,0.8507,0.5,2.04,0.1148,3.8,10.0,1.0,11.775848829679466,6.54,9.98,19.6,3415.6,11.86,0.482
11,10.3,-0.4,10.7,0.6,238.7,254.8,3.1,58.0,0.5084,0.2584,29.7,1380.0,0.5134,711.0,0.4995,0.5,115.02,0.2502,4.62,12.5,1.0,8.117509413803885,7.95,7.1,17.0,795.0,8.08,0.406
4,13.1,3.1,9.9,1.86,505.9,511.0,1.2,36.0,0.4835,0.2338,23.5,1820.2,0.4833,687.0,0.3836,0.5,62.99,0.5728,5.25,9.0,3.0,12.655464507166776,9.03,9.28,17.2,1793.9,7.15,0.357
11,3.4,-9.6,13.0,0.73,367.7,361.1,3.7,58.0,0.4828,0.2331,9.9,2130.2,0.8609,989.0,0.5429,0.5,308.78,0.1372,4.89,10.8,1.0,13.755978534016112,8.41,11.61,20.4,795.0,11.29,0.549
2,3.2,-8.4,11.6,0.71,304.3,303.9,0.1,59.0,0.4882,0.2383,9.4,1782.8,0.5767,761.0,0.5111,0.5,317.01,0.1534,4.4,12.0,1.0,14.910582439725825,7.57,12.24,18.4,795.0,7.92,0.435
